concert_id,city,date,tick_sales,opener_ar1,opener_ar2,place
36,Minneapolis,23.06.2023,73000,Girl in Red,Gracie Abrams,U.S. Bank Stadium
37,Minneapolis,24.06.2023,73000,Girl in Red,Owenn,U.S. Bank Stadium
38,Cincinnati,30.06.2023,66000,Muna,Gracie Abrams,Paycor Stadium
39,Cincinnati,01.07.2023,66000,Muna,NA,Paycor Stadium
40,Kansas City,07.07.2023,77000,Muna,Gracie Abrams,Arrowhead Stadium
41,Kansas City,08.07.2023,77000,Muna,Gracie Abrams,Arrowhead Stadium
42,Denver,14.07.2023,84000,Muna,Gracie Abrams,Empower Field at Mile High
43,Denver,15.07.2023,84000,Muna,Gracie Abrams,Empower Field at Mile High
44,Seattle,22.07.2023,72000,Haim,Gracie Abrams,Lumen Field
45,Seattle,23.07.2023,72000,Haim,Gracie Abrams,Lumen Field
46,Santa Clara,28.07.2023,69000,Haim,Gracie Abrams,Levi's Stadium
47,Santa Clara,29.07.2023,69000,Haim,Gracie Abrams,Levi's Stadium
48,Los Angeles,03.08.2023,100240,Haim,Gracie Abrams,SoFi Stadium
49,Los Angeles,04.08.2023,100240,Haim,Owenn,SoFi Stadium
50,Los Angeles,05.08.2023,100240,Haim,Gayle,SoFi Stadium
51,Los Angeles,07.08.2023,100240,Haim,Gracie Abrams,SoFi Stadium
52,Los Angeles,08.08.2023,100240,Haim,Gracie Abrams,SoFi Stadium
53,Los Angeles,09.08.2023,100240,Haim,Gayle,SoFi Stadium
54,Mexico City,24.08.2023,65000,Sabrina Carpenter,NA,Estadio GNP Seguros
55,Mexico City,25.08.2023,65000,Sabrina Carpenter,NA,Estadio GNP Seguros
56,Mexico City,26.08.2023,65000,Sabrina Carpenter,NA,Estadio GNP Seguros
57,Mexico City,27.08.2023,65000,Sabrina Carpenter,NA,Estadio GNP Seguros
58,Buenos Aires,09.11.2023,66000,Sabrina Carpenter,Louta,Mâs Monumental Stadium
59,Buenos Aires,11.11.2023,66000,Sabrina Carpenter,Louta,Mâs Monumental Stadium
60,Buenos Aires,12.11.2023,66000,Sabrina Carpenter,Louta,Mâs Monumental Stadium
61,Rio de Janeiro,17.11.2023,60000,Sabrina Carpenter,NA,Estádio Olímpico Nilton Santos
62,Rio de Janeiro,19.11.2023,60000,Sabrina Carpenter,NA,Estádio Olímpico Nilton Santos
63,Rio de Janeiro,20.11.2023,60000,Sabrina Carpenter,NA,Estádio Olímpico Nilton Santos
64,São Paulo,24.11.2023,44000,Sabrina Carpenter,NA,Allianz Parque
65,São Paulo,25.11.2023,44000,Sabrina Carpenter,NA,Allianz Parque
66,São Paulo,26.11.2023,44000,Sabrina Carpenter,NA,Allianz Parque
67,Tokyo,07.02.2024,70000,NA,NA,Tokyo Dome
68,Tokyo,08.02.2024,70000,NA,NA,Tokyo Dome
69,Tokyo,09.02.2024,70000,NA,NA,Tokyo Dome
70,Tokyo,10.02.2024,70000,NA,NA,Tokyo Dome
71,Melbourne,16.02.2024,100000,Sabrina Carpenter,NA,Melbourne Cricket Ground
72,Melbourne,17.02.2024,100000,Sabrina Carpenter,NA,Melbourne Cricket Ground
73,Melbourne,18.02.2024,100000,Sabrina Carpenter,NA,Melbourne Cricket Ground
74,Sydney,23.02.2024,84000,Sabrina Carpenter,NA,Stadium Australia
75,Sydney,24.02.2024,84000,Sabrina Carpenter,NA,Stadium Australia
76,Sydney,25.02.2024,84000,Sabrina Carpenter,NA,Stadium Australia
77,Sydney,26.02.2024,84000,Sabrina Carpenter,NA,Stadium Australia
78,Singapore,02.03.2024,55000,Sabrina Carpenter,NA,Singapore National Stadium
79,Singapore,03.03.2024,55000,Sabrina Carpenter,NA,Singapore National Stadium
80,Singapore,04.03.2024,55000,Sabrina Carpenter,NA,Singapore National Stadium
81,Singapore,07.03.2024,55000,Sabrina Carpenter,NA,Singapore National Stadium
82,Singapore,08.03.2024,55000,Sabrina Carpenter,NA,Singapore National Stadium
83,Singapore,09.03.2024,55000,Sabrina Carpenter,NA,Singapore National Stadium
84,Paris,09.05.2024,40000,Paramore,NA,Paris La Défense Arena
85,Paris,10.05.2024,40000,Paramore,NA,Paris La Défense Arena
86,Paris,11.05.2024,40000,Paramore,NA,Paris La Défense Arena
87,Paris,12.05.2024,40000,Paramore,NA,Paris La Défense Arena
88,Stockholm,17.05.2024,65000,Paramore,NA,Nationalarenan Strawberry Arena
89,Stockholm,18.05.2024,65000,Paramore,NA,Nationalarenan Strawberry Arena
90,Stockholm,19.05.2024,65000,Paramore,NA,Nationalarenan Strawberry Arena
91,Lisbon,24.05.2024,66000,Paramore,NA,Estádio da Luz
92,Lisbon,25.05.2024,66000,Paramore,NA,Estádio da Luz
93,Madrid,29.05.2024,82000,Paramore,NA,Estadio Santiago Bernabéu
94,Madrid,30.05.2024,82000,Paramore,NA,Estadio Santiago Bernabéu
95,Lyon,02.06.2024,60000,Paramore,NA,Parc Olympique Lyonnais
96,Lyon,03.06.2024,60000,Paramore,NA,Parc Olympique Lyonnais
97,Edinburgh,07.06.2024,68000,Paramore,NA,Murrayfield Stadium
98,Edinburgh,08.06.2024,68000,Paramore,NA,Murrayfield Stadium
99,Edinburgh,09.06.2024,68000,Paramore,NA,Murrayfield Stadium
100,Liverpool,13.06.2024,62000,Paramore,NA,Anfield
101,Liverpool,14.06.2024,62000,Paramore,NA,Anfield
102,Liverpool,15.06.2024,62000,Paramore,NA,Anfield
103,Cardiff,18.06.2024,75000,Paramore,NA,Principality Stadium
104,London,21.06.2024,90000,Paramore,NA,Wembley Stadium
105,London,22.06.2024,90000,Paramore,NA,Wembley Stadium
106,London,23.06.2024,90000,Paramore,NA,Wembley Stadium
107,Dublin,28.06.2024,52000,Paramore,NA,Aviva Stadium
108,Dublin,29.06.2024,52000,Paramore,NA,Aviva Stadium
109,Dublin,30.06.2024,52000,Paramore,NA,Aviva Stadium
110,Amsterdam,04.07.2024,56000,Paramore,NA,Johan Cruyff Arena
111,Amsterdam,05.07.2024,56000,Paramore,NA,Johan Cruyff Arena
112,Amsterdam,06.07.2024,56000,Paramore,NA,Johan Cruyff Arena
113,Zürich,09.07.2024,30000,Paramore,NA,Stadion Letzigrund
114,Zürich,10.07.2024,30000,Paramore,NA,Stadion Letzigrund
115,Milan,13.07.2024,76000,Paramore,NA,San Siro
116,Milan,14.07.2024,76000,Paramore,NA,San Siro
117,Gelsenkirchen,17.07.2024,63000,Paramore,NA,Veltins-Arena
118,Gelsenkirchen,18.07.2024,63000,Paramore,NA,Veltins-Arena
119,Gelsenkirchen,19.07.2024,63000,Paramore,NA,Veltins-Arena
120,Hamburg,23.07.2024,57000,Paramore,NA,Volksparkstadion
121,Hamburg,24.07.2024,57000,Paramore,NA,Volksparkstadion
122,Munich,27.07.2024,75000,Paramore,NA,Olympiastadion
123,Munich,28.07.2024,75000,Paramore,NA,Olympiastadion
124,Warsaw,01.08.2024,73000,Paramore,NA,Kazimierz Górski National Stadium
125,Warsaw,02.08.2024,73000,Paramore,NA,Kazimierz Górski National Stadium
126,Warsaw,03.08.2024,73000,Paramore,NA,Kazimierz Górski National Stadium
127,Vienna,08.08.2024,51000,Paramore,NA,Ernst Happel Stadion
128,Vienna,09.08.2024,51000,Paramore,NA,Ernst Happel Stadion
129,Vienna,10.08.2024,51000,Paramore,NA,Ernst Happel Stadion
130,London,15.08.2024,90000,Paramore,NA,Wembley Stadium
131,London,16.08.2024,90000,Paramore,NA,Wembley Stadium
132,London,17.08.2024,90000,Paramore,NA,Wembley Stadium
133,London,19.08.2024,90000,NA,NA,Wembley Stadium
134,London,20.08.2024,90000,NA,NA,Wembley Stadium
135,Miami,18.10.2024,65000,Gracie Abrams,NA,Hard Rock Stadium
136,Miami,19.10.2024,65000,Gracie Abrams,NA,Hard Rock Stadium
137,Miami,20.10.2024,65000,Gracie Abrams,NA,Hard Rock Stadium
138,New Orleans,25.10.2024,83000,Gracie Abrams,NA,The Super-dome
139,New Orleans,26.10.2024,83000,Gracie Abrams,NA,The Super-dome
140,New Orleans,27.10.2024,83000,Gracie Abrams,NA,The Super-dome
141,Indianapolis,01.11.2024,70000,Gracie Abrams,NA,Lucas Oil Stadium
142,Indianapolis,02.11.2024,70000,Gracie Abrams,NA,Lucas Oil Stadium
143,Indianapolis,03.11.2024,70000,Gracie Abrams,NA,Lucas Oil Stadium
144,Toronto,14.11.2024,50000,Gracie Abrams,NA,Rogers Centre
145,Toronto,15.11.2024,50000,Gracie Abrams,NA,Rogers Centre
146,Toronto,16.11.2024,50000,Gracie Abrams,NA,Rogers Centre
147,Toronto,21.11.2024,50000,Gracie Abrams,NA,Rogers Centre
148,Toronto,22.11.2024,50000,Gracie Abrams,NA,Rogers Centre
149,Toronto,23.11.2024,50000,Gracie Abrams,NA,Rogers Centre
150,Vancouver,06.12.2024,55000,Gracie Abrams,NA,BC Place
151,Vancouver,07.12.2024,55000,Gracie Abrams,NA,BC Place
152,Vancouver,08.12.2024,55000,Gracie Abrams,NA,BC Place
